Explainer,Model,Dataset,AB,score,score_bottom,score_top,kendall,random,noise,Skew,Samples,HC,ConfVars
ShapFlow,XGBoost,3_vars_corr_2HC_n700.csv,A,3.66972373827062,0.022100514933548386,-0.013267234800762629,0.3333333333333334,0.905470691139022,0.0,0.5,700.0,2.0,3.0
ShapFlow,XGBoost,3_vars_corr_2HC_n700B.csv,B,3.1278329487591283,0.07151925221531306,0.08742120213176009,0.2666666666666667,0.8594680439672953,0.0,0.5,700.0,2.0,3.0
ShapFlow,XGBoost,3_vars_corr_2HC_n900.csv,A,3.4744028590463136,0.027242853265077627,0.03402721483720972,0.3333333333333334,0.8996841862621199,0.0,0.5,900.0,2.0,3.0
ShapFlow,XGBoost,3_vars_corr_2HC_n900B.csv,B,2.907548620533575,0.12341964324636778,0.06158305859516629,0.3333333333333334,0.7782488826336529,0.0,0.5,900.0,2.0,3.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n100.csv,A,2.525031011873117,0.14521793195014768,0.14502043949122126,0.3333333333333334,0.749197117834974,0.0,0.5,100.0,0.0,0.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n1000.csv,A,2.6854486326877587,0.08813101095944126,0.05713663808917872,0.3333333333333334,0.7151575836931233,0.0,0.5,1000.0,0.0,0.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n200.csv,A,2.6975549581790985,0.1264819851425961,0.0522578165716522,0.3333333333333334,0.718109318358131,0.0,0.5,200.0,0.0,0.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n300.csv,A,2.8400337837837837,0.0840108363757945,0.059297349582173677,0.0,0.7566035007306245,0.0,0.5,300.0,0.0,0.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n400.csv,A,2.999013793676391,0.0768313139489382,0.06559525189242191,0.3333333333333334,0.8055350899885785,0.0,0.5,400.0,0.0,0.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n500.csv,A,2.9492872369261547,0.07721610914074684,0.03213905494035385,0.3333333333333334,0.7643882593997859,0.0,0.5,500.0,0.0,0.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n600.csv,A,2.7720855283792494,0.06785175621291997,0.11412129205847332,0.0,0.786021213422478,0.0,0.5,600.0,0.0,0.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n700.csv,A,2.90345881209959,0.09047359591300688,0.046581772510162614,0.0,0.7623153582509439,0.0,0.5,700.0,0.0,0.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n800.csv,A,2.8460259755329167,0.0768862734771043,0.10061780122632377,0.3333333333333334,0.7961889322899985,0.0,0.5,800.0,0.0,0.0
ShapKernelKmeans,FauxModel,0_vars_corr_0HC_n900.csv,A,2.791654200139832,0.11604435132112201,0.08540045281584482,0.6666666666666669,0.7676867171014704,0.0,0.5,900.0,0.0,0.0
ShapKernelKmeans,FauxModel,1_vars_corr_1HC_n100.csv,A,2.7943034670008355,0.0806804971710102,0.15658062140090592,0.6666666666666669,0.8343746645081784,0.0,0.5,100.0,1.0,1.0
ShapKernelKmeans,FauxModel,1_vars_corr_1HC_n1000.csv,A,2.7881768206549147,0.12435713015672625,0.05188086598904347,0.3333333333333334,0.7358326612597765,0.0,0.5,1000.0,1.0,1.0
ShapKernelKmeans,FauxModel,1_vars_corr_1HC_n300.csv,A,2.637824235385211,0.11615619894616373,0.08329179970086607,0.3333333333333334,0.7237140067919829,0.0,0.5,300.0,1.0,1.0
ShapKernelKmeans,FauxModel,1_vars_corr_1HC_n500.csv,A,2.6651999316473,0.10112544730640857,0.11051939234742951,0.6666666666666669,0.7543638956479148,0.0,0.5,500.0,1.0,1.0
ShapKernelKmeans,FauxModel,1_vars_corr_1HC_n700.csv,A,2.6991824199408416,0.08254191016210888,0.07638616461061973,0.3333333333333334,0.735105571169199,0.0,0.5,700.0,1.0,1.0
ShapKernelKmeans,FauxModel,1_vars_corr_1HC_n900.csv,A,2.8783919417744537,0.12705007610466237,0.060719287498510154,0.6666666666666669,0.7682230217070483,0.0,0.5,900.0,1.0,1.0
ShapKernelKmeans,FauxModel,2_vars_corr_1HC_n100.csv,A,3.190559440559441,0.061330991400762445,0.07939378089604628,0.6666666666666669,0.8686362721385942,0.0,0.5,100.0,1.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_1HC_n1000.csv,A,2.899106000465925,0.10211230911113382,0.1309742000892732,0.6666666666666669,0.8379783077075066,0.0,0.5,1000.0,1.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_1HC_n300.csv,A,3.160661637744971,0.07622818144214552,0.03357723189349569,0.3333333333333334,0.8207228072250702,0.0,0.5,300.0,1.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_1HC_n500.csv,A,2.9696434859461847,0.08800749019663132,0.07662187995847142,0.6666666666666669,0.8072660763709687,0.0,0.5,500.0,1.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_1HC_n700.csv,A,2.9344199073183117,0.09470078368962596,-0.004964778612550835,0.3333333333333334,0.730214234177146,0.0,0.5,700.0,1.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_1HC_n900.csv,A,2.830144808104516,0.12618976014765657,0.0712028779189843,0.6666666666666669,0.7632275380371588,0.0,0.5,900.0,1.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_2HC_n100.csv,A,2.422731397459165,0.15608948153851654,0.10770071648010093,0.6666666666666669,0.6845975804114749,0.0,0.5,100.0,2.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_2HC_n1000.csv,A,2.9295452002939415,0.08747550102747088,0.07088483203135269,0.6666666666666669,0.7897961724582379,0.0,0.5,1000.0,2.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_2HC_n300.csv,A,2.561421996462319,0.1267642422038146,0.1536368049165135,1.0,0.7627825854002114,0.0,0.5,300.0,2.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_2HC_n500.csv,A,2.627262298400702,0.1794544990310966,0.0667552123474013,0.6666666666666669,0.7078436920724431,0.0,0.5,500.0,2.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_2HC_n700.csv,A,3.006575385964431,0.07610348358162354,0.04250230286829236,0.6666666666666669,0.7869106357539761,0.0,0.5,700.0,2.0,2.0
ShapKernelKmeans,FauxModel,2_vars_corr_2HC_n900.csv,A,2.759949222233705,0.06833754450363759,0.07875307539302424,0.6666666666666669,0.7509884869302211,0.0,0.5,900.0,2.0,2.0
ShapKernelKmeans,FauxModel,3_vars_corr_1HC_n100.csv,A,3.4591346153846154,0.032296830941364096,0.029514210346664328,0.6666666666666669,0.8921274038461539,0.0,0.5,100.0,1.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_1HC_n1000.csv,A,3.0854676942833676,0.056028020010675514,0.055762770106831075,0.6666666666666669,0.8188289118938255,0.0,0.5,1000.0,1.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_1HC_n300.csv,A,3.4669419089474864,-0.014516567607146346,0.04137623096352451,0.3333333333333334,0.9047532855514895,0.0,0.5,300.0,1.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_1HC_n500.csv,A,3.1922074932669036,0.07373189832001924,0.06976381342145463,0.6666666666666669,0.8604250804813391,0.0,0.5,500.0,1.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_1HC_n700.csv,A,2.7786089142713397,0.060464647343464094,0.13533489983736105,0.6666666666666669,0.8040418606102738,0.0,0.5,700.0,1.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_1HC_n900.csv,A,2.977745924954802,0.020085578564219143,0.0911435277341295,0.6666666666666669,0.8212616960788127,0.0,0.5,900.0,1.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n100.csv,A,2.6142857142857148,0.06843279631152395,0.04013281243548378,1.0,0.6853728354978356,0.0,0.5,100.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n1000.csv,A,3.268973493758284,0.03513255981487938,0.04434871431168678,0.6666666666666669,0.8566033823500787,0.0,0.5,1000.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n1000B.csv,B,2.8377687945201977,0.08104434779037734,0.09902437895131445,0.3333333333333334,0.7916541196614678,0.0,0.5,1000.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n100B.csv,B,2.765471370734529,0.032818603533842805,0.08384045511645831,0.3333333333333334,0.7558938899446418,0.0,0.5,100.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n300.csv,A,3.3756524282981557,0.024894218260930766,0.008682753444458069,0.6666666666666669,0.8516594269585479,0.0,0.5,300.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n300B.csv,B,2.821342048355365,0.0947606714430376,0.08404420471109707,0.3333333333333334,0.7730608321731323,0.0,0.5,300.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n500.csv,A,3.549845821769965,0.016001964064106377,0.02462952254558439,0.6666666666666669,0.9103047857225393,0.0,0.5,500.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n500B.csv,B,2.7403196076863,0.14700424057429218,0.08805920044193175,0.3333333333333334,0.755017886272803,0.0,0.5,500.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n700.csv,A,3.15621105540714,0.046019703081752364,0.09398255883341125,0.6666666666666669,0.8725467013877852,0.0,0.5,700.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n700B.csv,B,2.8820390419353634,0.08847313666143311,0.08289651542194712,0.3333333333333334,0.7885318600423008,0.0,0.5,700.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n900.csv,A,3.4023758367393184,0.015372087983526128,0.005733941681445675,0.6666666666666669,0.8560383115433746,0.0,0.5,900.0,2.0,3.0
ShapKernelKmeans,FauxModel,3_vars_corr_2HC_n900B.csv,B,2.6256831509480776,0.1303475254304197,0.09473350198938188,0.3333333333333334,0.7295902306289078,0.0,0.5,900.0,2.0,3.0
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n100.csv,A,2.7440245145934004,0.06409734059436302,0.1840812790105309,0.3333333333333334,0.8470491453920662,0.013202297919888348,0.5,100.0,0.0,0.0
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n1000.csv,A,3.134191673392186,0.07906735893565506,0.026599751500065782,0.3333333333333334,0.8069562744338186,0.0005323031609640535,0.5,1000.0,0.0,0.0
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n200.csv,A,2.917104549427671,0.12308033525192849,0.09898384800328927,0.3333333333333334,0.8123610268486574,0.007965386180962184,0.5,200.0,0.0,0.0
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n300.csv,A,3.1771296849346387,0.07086479411585545,0.03215637997000542,0.0,0.8228875148079855,0.007079496444040165,0.5,300.0,0.0,0.0
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n400.csv,A,3.2994276884137705,0.03749722160305763,0.06682273473668701,0.0,0.8855777378586508,0.007472084396893082,0.5,400.0,0.0,0.0
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n500.csv,A,3.1218185538728127,0.08096659102992018,0.04509172057338327,0.6666666666666669,0.819573168253874,0.0036327075465325187,0.5,500.0,0.0,0.0
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n600.csv,A,2.8949535771568753,0.08725207512299832,0.11834533937409342,0.0,0.8236348401925149,0.0024072904546847463,0.5,600.0,0.0,0.0
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n700.csv,A,3.2756087608816813,0.038733360649781355,0.029530457460246205,0.0,0.844862680791981,0.0022972820046698707,0.5,700.0,0.0,0.0
